Number,Question,Answer1,Answer2,DOI,Year,Author,Comments
10,Life cycle correctly estimated?,yes,,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
11,What is error if one found?,NA,,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
12,What metric used for fecundity?,fledglings,is correct here,http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
13,Sample size,243,"for black fronted tern, 161 and 123 for other species",http://dx.doi.org/10.1016/j.biocon.2013.09.005,2013,Cruz,
,,,,,,,
1,Is there an MPM in original paper?,yes,,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,in fact an integrated population model
2,Organism,mammal,koala,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,really well documented
3,Do they model an observation process for survival?,no,logistic model in integrated population model,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
4,Do they model an observation process for fecundity?,no,logistic model in integrated population model,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
5,Was uncertainty reported?,yes,"seems to be whole distribution for all, but only reported as words and pictures no numbers",doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
6,"If reported, was the uncertainty complete for all parameters?",yes,,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"decline of 7.3% per year (lambda 0.927, 0.906-0.950)",doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,no,,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
9,Pre or post breeding census,post,,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
10,Life cycle correctly estimated?,yes,,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
11,What is error if one found?,NA,,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
12,What metric used for fecundity?,birth rate of young (age class 1),multiplied by mother survival,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
13,Sample size,220,radio tracking,doi:10.1016/j.biocon.2010.12.027,2011,Rhodes,
,,,,,,,
1,Is there an MPM in original paper?,yes,,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,"Used popbio package, seems to use primarily bootstrapping"
2,Organism,fish,roach,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
3,Do they model an observation process for survival?,no,taken from previous work for juveniles and adults and estimated when lambda = 1 for newborns,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
4,Do they model an observation process for fecundity?,no,counted?,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
5,Was uncertainty reported?,yes,bootstrap confidence interval of population size,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
6,"If reported, was the uncertainty complete for all parameters?",no,survival reproduction,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
7,Was lambda estimated from matrix? If yes what conclusion,yes,in order to conduct elasticity,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival rates of newborns and juveniles had biggest impact,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
9,Pre or post breeding census,post,,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
10,Life cycle correctly estimated?,yes,,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
11,What is error if one found?,NA,,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
12,What metric used for fecundity?,number of females born in a year scaled by their survival ,,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
13,Sample size,can't tell,,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,
,,,,,,,
1,Is there an MPM in original paper?,yes,,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
2,Organism,mammal,armadillo,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
3,Do they model an observation process for survival?,yes,multistate capture-mark-recapture model,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
4,Do they model an observation process for fecundity?,no,0.5 times probability of breeding times litter size times survival to trapping,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
5,Was uncertainty reported?,yes,standard errors for survival and population growth rate and propagated used delta method,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
6,"If reported, was the uncertainty complete for all parameters?",no,some reproduction,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,mechanistic reproduction
7,Was lambda estimated from matrix? If yes what conclusion,yes,always below 1,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival of non-leprous adults was more influential,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
9,Pre or post breeding census,pre,,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
10,Life cycle correctly estimated?,yes,,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
11,What is error if one found?,NA,,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
12,What metric used for fecundity?,half of litter size multiplied by probability of reproductive/non reproductive adult surviving and reproducing and newborn survival to trapping age,,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
13,Sample size,640,297 female 343 males,http://dx.doi.org/10.1016/j.ecolmodel.2017.02.001 ,2017,Oli,
,,,,,,,
1,Is there an MPM in original paper?,yes,,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
2,Organism,bird,macaw,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
3,Do they model an observation process for survival?,no,taken from another paper (Strem 2008),http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
4,Do they model an observation process for fecundity?,no,calculated as a proportions from data,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
5,Was uncertainty reported?,no,,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
6,"If reported, was the uncertainty complete for all parameters?",NA,,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
7,Was lambda estimated from matrix? If yes what conclusion,no,,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival probability of adults is most influential then changes in fertility,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
9,Pre or post breeding census,post,,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
10,Life cycle correctly estimated?,yes,,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
11,What is error if one found?,maybe incorrect stage lengths i.e. four years,"fledgling is 4 years, time step is 1 year but states in one time step all individuals in state one survival and grow to juvenile",http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
12,What metric used for fecundity?,number of hatched eggs per female multiplied by their survival from hatch to next time interval,,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
13,Sample size,525,across 8 years approx 65 per year,http://dx.doi.org/10.1016/j.ecolmodel.2017.07.023 ,2017,Maestri,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1016/j.baae.2010.11.004,2010,Sergio,
2,Organism,bird,black kite,10.1016/j.baae.2010.11.004,2010,Sergio,
3,Do they model an observation process for survival?,yes,modelled recapture too M-SURGE,10.1016/j.baae.2010.11.004,2010,Sergio,
4,Do they model an observation process for fecundity?,no,Poisson GLM,10.1016/j.baae.2010.11.004,2010,Sergio,
5,Was uncertainty reported?,yes,"variance in parameters, confidence interval and then did simulate stochastic lambda based on estimated distribution of the parameter",10.1016/j.baae.2010.11.004,2010,Sergio,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1016/j.baae.2010.11.004,2010,Sergio,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"deterministic and stochastic lambda, both indicated stability",10.1016/j.baae.2010.11.004,2010,Sergio,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,importance of survival decreased with age,10.1016/j.baae.2010.11.004,2010,Sergio,
9,Pre or post breeding census,pre,,10.1016/j.baae.2010.11.004,2010,Sergio,
10,Life cycle correctly estimated?,yes,,10.1016/j.baae.2010.11.004,2010,Sergio,
11,What is error if one found?,NA,,10.1016/j.baae.2010.11.004,2010,Sergio,
12,What metric used for fecundity?,half fledged young per breeding attempt to represent female offspring that make it to 1 year,,10.1016/j.baae.2010.11.004,2010,Sergio,I think they could have done better given they have resighting data
13,Sample size,4581,number of individuals,10.1016/j.baae.2010.11.004,2010,Sergio,
,,,,,,,
1,Is there an MPM in original paper?,yes,,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,Includes density dependence through recruitment
2,Organism,fish,"perch, cod, carp",http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,"Mentions uncertainty a lot, doesn't necessarily put numbers on it"
3,Do they model an observation process for survival?,can't tell,used estimates from another paper,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,Use popbio
4,Do they model an observation process for fecundity?,can't tell,used estimates from another paper,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
5,Was uncertainty reported?,yes,standard deviation of estimate so individual variability? looked at stochastic projections from a range of parameter values,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
6,"If reported, was the uncertainty complete for all parameters?",yes,standard deviation represents variability in the estimates not variability of data,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
7,Was lambda estimated from matrix? If yes what conclusion,no,,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,temperature was most important for determining a good or bad year,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
9,Pre or post breeding census,pre,,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
10,Life cycle correctly estimated?,yes,,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
11,What is error if one found?,NA,,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
12,What metric used for fecundity?,"maximum fecundity from literature, num eggs inc egg survival, larval survival and juvenile survival to first trapping",,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
13,Sample size,NA,from literature,http://dx.doi.org/10.1016/j.envsoft.2016.02.009,2016,Stratford,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1007/978-1-4939-0697-0_15,2014,Lizcano,popbio
2,Organism,mammal,Wholly monkey,10.1007/978-1-4939-0697-0_15,2014,Lizcano,chapter 15 
3,Do they model an observation process for survival?,no,Wood's quadratic programming method,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
4,Do they model an observation process for fecundity?,no,Wood's quadratic programming method,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
5,Was uncertainty reported?,no,but did do a state-space model for white-face disease,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
6,"If reported, was the uncertainty complete for all parameters?",NA,survival reproduction,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"stability, just",10.1007/978-1-4939-0697-0_15,2014,Lizcano,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult female survival has highest impact,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
9,Pre or post breeding census,post,,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
10,Life cycle correctly estimated?,no,,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
11,What is error if one found?,should not be able to stay as infant for multiple time steps,,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
12,What metric used for fecundity?,can't tell,,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
13,Sample size ,can't tell,not reported,10.1007/978-1-4939-0697-0_15,2014,Lizcano,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1186/1472-6785-12-9,2012,Wilson,
2,Organism,birds,ptarmigan,10.1186/1472-6785-12-9,2012,Wilson,
3,Do they model an observation process for survival?,yes,"Program MARK, but juvenile survival calculated during chick stage, some from literature",10.1186/1472-6785-12-9,2012,Wilson,
4,Do they model an observation process for fecundity?,no,direct calculation - mean hatched young per female,10.1186/1472-6785-12-9,2012,Wilson,
5,Was uncertainty reported?,yes,standard errors and used a range for juvenile survival standard deviation for stochastic simulation,10.1186/1472-6785-12-9,2012,Wilson,
6,"If reported, was the uncertainty complete for all parameters?",no,some survival some reproduction,10.1186/1472-6785-12-9,2012,Wilson,
7,Was lambda estimated from matrix? If yes what conclusion,yes,close to 1 but just declining for white-tailed ptarmigan,10.1186/1472-6785-12-9,2012,Wilson,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,juvenile and adult survival were most important in both species,10.1186/1472-6785-12-9,2012,Wilson,
9,Pre or post breeding census,pre,,10.1186/1472-6785-12-9,2012,Wilson,
10,Life cycle correctly estimated?,yes,,10.1186/1472-6785-12-9,2012,Wilson,
11,What is error if one found?,NA,,10.1186/1472-6785-12-9,2012,Wilson,
12,What metric used for fecundity?,number of female young hatched times survival from hatch to trapping,,10.1186/1472-6785-12-9,2012,Wilson,
13,Sample size,127,females monitored for reproduction,10.1186/1472-6785-12-9,2012,Wilson,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.5253/078.100.0208,2012,Bijlsma,
2,Organism,bird,honey buzzard,10.5253/078.100.0208,2012,Bijlsma,
3,Do they model an observation process for survival?,yes,seber recovery model,10.5253/078.100.0208,2012,Bijlsma,
4,Do they model an observation process for fecundity?,no,direct calculation (average),10.5253/078.100.0208,2012,Bijlsma,
5,Was uncertainty reported?,yes,"standard error for survival, bootstrapped reproduction - fed into lambda",10.5253/078.100.0208,2012,Bijlsma,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.5253/078.100.0208,2012,Bijlsma,
7,Was lambda estimated from matrix? If yes what conclusion,yes,population decline for mean estimate but confidence intervals include 0,10.5253/078.100.0208,2012,Bijlsma,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult survival was most important,10.5253/078.100.0208,2012,Bijlsma,
9,Pre or post breeding census,pre,,10.5253/078.100.0208,2012,Bijlsma,
10,Life cycle correctly estimated?,yes,,10.5253/078.100.0208,2012,Bijlsma,
11,What is error if one found?,NA,,10.5253/078.100.0208,2012,Bijlsma,
12,What metric used for fecundity?,average number of fledged pulli,per female and then times survival to trapping,10.5253/078.100.0208,2012,Bijlsma,
13,Sample size,6895,all ringed buzzards across 7 countries,10.5253/078.100.0208,2012,Bijlsma,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1656/058.013.s505,2014,Rigby,were hindered in survival estimates by a previous study failing to report sample size
2,Organism,bird,mottled ducks,10.1656/058.013.s505,2014,Rigby,example of propagation
3,Do they model an observation process for survival?,yes,program MARK (literature),10.1656/058.013.s505,2014,Rigby,
4,Do they model an observation process for fecundity?,no,from literature,10.1656/058.013.s505,2014,Rigby,
5,Was uncertainty reported?,yes,process variance or standard error AND PROPAGATED,10.1656/058.013.s505,2014,Rigby,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1656/058.013.s505,2014,Rigby,
7,Was lambda estimated from matrix? If yes what conclusion,yes,low 0.541 se 0.070,10.1656/058.013.s505,2014,Rigby,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,fecundity was most important,10.1656/058.013.s505,2014,Rigby,
9,Pre or post breeding census,pre,,10.1656/058.013.s505,2014,Rigby,
10,Life cycle correctly estimated?,yes,,10.1656/058.013.s505,2014,Rigby,
11,What is error if one found?,NA,,10.1656/058.013.s505,2014,Rigby,
12,What metric used for fecundity?,"half of breeding incidence times clutch size, times hatchability, times nest success, time renesting effort, times duckling survival, times juvenile survival",,10.1656/058.013.s505,2014,Rigby,
13,Sample size,NA,from literature,10.1656/058.013.s505,2014,Rigby,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1676/12-154.1,2013,Bulluck,PopTools
2,Organism,bird,golden-winged warbler,10.1676/12-154.1,2013,Bulluck,Program MARK for nest survival 
3,Do they model an observation process for survival?,yes,CJS model in progam MARK,10.1676/12-154.1,2013,Bulluck,note their fecundity might be too high
4,Do they model an observation process for fecundity?,yes,direct calculation and apparent nest success,10.1676/12-154.1,2013,Bulluck,
5,Was uncertainty reported?,yes,standard errors for survival adults and nest success,10.1676/12-154.1,2013,Bulluck,
6,"If reported, was the uncertainty complete for all parameters?",no,some survival some reproduction,10.1676/12-154.1,2013,Bulluck,missing for young survival and fecundity
7,Was lambda estimated from matrix? If yes what conclusion,yes,"declining, no uncertainty",10.1676/12-154.1,2013,Bulluck,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,after second year survival was most important,10.1676/12-154.1,2013,Bulluck,
9,Pre or post breeding census,post,,10.1676/12-154.1,2013,Bulluck,
10,Life cycle correctly estimated?,yes,,10.1676/12-154.1,2013,Bulluck,
11,What is error if one found?,NA,,10.1676/12-154.1,2013,Bulluck,
12,What metric used for fecundity?,mean number of fledged times sex ratio times renesting attempt,survival from fledge to breeding was half that of adult survival. multiplied by breeding female survival for matrix,10.1676/12-154.1,2013,Bulluck,
13,Sample size,188,"102 for Tennessee, 86 for Ontario (number of nests)",10.1676/12-154.1,2013,Bulluck,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1002/aqc.2243,2012,Foster,great propagation using whole error distribution
2,Organism,fish,silver stardrum,10.1002/aqc.2243,2012,Foster,
3,Do they model an observation process for survival?,can't tell,catch curve analysis,10.1002/aqc.2243,2012,Foster,
4,Do they model an observation process for fecundity?,no,direct calculation: number of females of age 0 distributed amoung breeding females,10.1002/aqc.2243,2012,Foster,
5,Was uncertainty reported?,yes,and propagated and looked at model structure uncertainty through sensitivity analysis,10.1002/aqc.2243,2012,Foster,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1002/aqc.2243,2012,Foster,
7,Was lambda estimated from matrix? If yes what conclusion,yes,just over 1,10.1002/aqc.2243,2012,Foster,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,juvenile survival was most influential BUT indicated the sensitivity of elasticity values to variations in vital rates,10.1002/aqc.2243,2012,Foster,GOOD EXAMPLE FOR ELASTICITY AND UNCERTAINTY
9,Pre or post breeding census,pre,,10.1002/aqc.2243,2012,Foster,
10,Life cycle correctly estimated?,yes,,10.1002/aqc.2243,2012,Foster,
11,What is error if one found?,NA,,10.1002/aqc.2243,2012,Foster,
12,What metric used for fecundity?,number of age 0 females,represents: eggs X newborn survival to recruitment,10.1002/aqc.2243,2012,Foster,
13,Sample size,5634,max individuals,10.1002/aqc.2243,2012,Foster,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1111/acv.12054,2012,Monadjem,popbio
2,Organism,bird,cape vulture,10.1111/acv.12054,2012,Monadjem,
3,Do they model an observation process for survival?,yes,"live encounter dead recovery in program MARK, first year survival from literature",10.1111/acv.12054,2012,Monadjem,
4,Do they model an observation process for fecundity?,no,mean from literature,10.1111/acv.12054,2012,Monadjem,
5,Was uncertainty reported?,yes,SE for survival and propagated,10.1111/acv.12054,2012,Monadjem,
6,"If reported, was the uncertainty complete for all parameters?",no,reproduction,10.1111/acv.12054,2012,Monadjem,
7,Was lambda estimated from matrix? If yes what conclusion,yes,"wild birds have exponential growth, rehabilitated decline and 5050 stable",10.1111/acv.12054,2012,Monadjem,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,survival of adult stage is most important,10.1111/acv.12054,2012,Monadjem,
9,Pre or post breeding census,post,,10.1111/acv.12054,2012,Monadjem,
10,Life cycle correctly estimated?,yes,,10.1111/acv.12054,2012,Monadjem,
11,What is error if one found?,NA,,10.1111/acv.12054,2012,Monadjem,
12,What metric used for fecundity?,fledglings X adult survival,,10.1111/acv.12054,2012,Monadjem,
13,Sample size,405,"total individuals, 163 rehabilitated, 242 wild caught",10.1111/acv.12054,2012,Monadjem,
,,,,,,,
1,Is there an MPM in original paper?,yes,,10.1155/2011/870853,2011,Seignobosc,Rmark
2,Organism,mammal,otter,10.1155/2011/870853,2011,Seignobosc,
3,Do they model an observation process for survival?,yes,Burnham model,10.1155/2011/870853,2011,Seignobosc,
4,Do they model an observation process for fecundity?,no,direction calculation: total number new offspring/total number breeding females,10.1155/2011/870853,2011,Seignobosc,
5,Was uncertainty reported?,yes,"lambda, SE for parameters propagated assuming normal distribution",10.1155/2011/870853,2011,Seignobosc,
6,"If reported, was the uncertainty complete for all parameters?",yes,,10.1155/2011/870853,2011,Seignobosc,
7,Was lambda estimated from matrix? If yes what conclusion,yes,stable,10.1155/2011/870853,2011,Seignobosc,
8,Was a sensitivity/elasticity analysis conducted? If yes what was conclusion,yes,adult female survival is most important,10.1155/2011/870853,2011,Seignobosc,
9,Pre or post breeding census,birth flow,,10.1155/2011/870853,2011,Seignobosc,
10,Life cycle correctly estimated?,yes,,10.1155/2011/870853,2011,Seignobosc,
