Vital rate,Matrix position,Estimate,Uncertainty1,Uncertainty2,Uncertainty type,Method of estimation,Propagated to final matrix?,Sample size,Which model,DOI,Year,Author,Comments,
survival 0,"3,2",0.536,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 1,"4,3",0.536,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 2,"5,4",0.477,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 3,"6,5",0.72,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 4,"7,6",0.425,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 5,"8,7",0.577,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 6,"9,8",0.504,NA,NA,NA,direct calculation,no,not reported,GoB,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
larvae survival,"2,1",0.031,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 0,"3,2",0.506,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 1,"4,3",0.886,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 2,"5,4",0.67,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 3,"6,5",0.79,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 4,"7,6",0.875,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 5,"8,7",0.429,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 6,"9,8",0.667,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
survival 7,"10,9",0.05,NA,NA,NA,direct calculation,no,not reported,GoF,doi:10.1016/j.ecoenv.2012.01.019 ,2012,Bergek,,
population size,NA,plotted only,plotted only,plotted only,confidence interval,simulation based on different survival values,NA,NA,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,plotted only,
reproduction 3,"1,4",45.10,NA,NA,NA,direct calculation,no,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
reproduction 4,"1,5",102.90,NA,NA,NA,direct calculation,no,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
reproduction 5,"1,6",178.80,NA,NA,NA,direct calculation,no,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
reproduction 6,"1,7",265.20,NA,NA,NA,direct calculation,no,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
reproduction 7,"1,8",355.30,NA,NA,NA,direct calculation,no,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
reproduction 8,"1,9",443.80,NA,NA,NA,direct calculation,no,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
reproduction 9,"1,10",527.30,NA,NA,NA,direct calculation,no,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
young of year survival,"2,1",0.02,NA,NA,NA,estimated so that lambda = 1,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,try to propagate but seem to arbitrarily choose amount of deviation for sampling,
juvenile survival,"3,2",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
adult survival 3,"4,3",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
adult survival 4,"5,4",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
adult survival 5,"6,5",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
adult survival 6,"7,6",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
adult survival 7,"8,7",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
adult survival 8,"9,8",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
adult survival 9,"10,9",0.49,NA,NA,NA,from previous work,yes,not reported,NA,http://dx.doi.org/10.1016/j.ecolmodel.2015.12.002 ,2016,Otjacques,,
lambda,NA,0.89,0.89,0.89,confidence interval,bootstrap,NA,NA,including sexual and asexual recruits MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
lambda,NA,0.89,0.89,0.89,confidence interval,bootstrap,NA,NA,including only sexual recruits MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
lambda,NA,0.83,0.83,0.84,confidence interval,bootstrap,NA,NA,including only asexual recruits MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
lambda,NA,0.82,0.82,0.83,confidence interval,bootstrap,NA,NA,including no recruitment MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
lambda,NA,0.80,0.79,0.80,confidence interval,bootstrap,NA,NA,including sexual and asexual recruits LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
lambda,NA,0.79,0.79,0.80,confidence interval,bootstrap,NA,NA,including only sexual recruits LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
lambda,NA,0.76,0.76,0.77,confidence interval,bootstrap,NA,NA,including only asexual recruits LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
lambda,NA,0.76,0.76,0.77,confidence interval,bootstrap,NA,NA,including no recruitment LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to small,"1,1",0.84,NA,NA,NA,direct calculation,NA,can't tell,MLW inc sexual and asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium to small,"1,2",0.15,NA,NA,NA,direct calculation,NA,can't tell,MLW inc sexual and asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to small,"1,3",0.13,NA,NA,NA,direct calculation,NA,can't tell,MLW inc sexual and asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to small,"1,1",0.84,NA,NA,NA,direct calculation,NA,can't tell,MLW inc sexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium to small,"1,2",0.13,NA,NA,NA,direct calculation,NA,can't tell,MLW inc sexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to small,"1,3",0.08,NA,NA,NA,direct calculation,NA,can't tell,MLW inc sexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to small,"1,1",0.79,NA,NA,NA,direct calculation,NA,can't tell,MLW inc asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium to small,"1,2",0.09,NA,NA,NA,direct calculation,NA,can't tell,MLW inc asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to small,"1,3",0.05,NA,NA,NA,direct calculation,NA,can't tell,MLW inc asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to small,"1,1",0.55,NA,NA,NA,direct calculation,NA,can't tell,LP inc sexual and asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium to small,"1,2",0.16,NA,NA,NA,direct calculation,NA,can't tell,LP inc sexual and asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to small,"1,3",0.09,NA,NA,NA,direct calculation,NA,can't tell,LP inc sexual and asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to small,"1,1",0.55,NA,NA,NA,direct calculation,NA,can't tell,LP inc sexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium to small,"1,2",0.14,NA,NA,NA,direct calculation,NA,can't tell,LP inc sexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to small,"1,3",0.08,NA,NA,NA,direct calculation,NA,can't tell,LP inc sexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to small,"1,1",0.52,NA,NA,NA,direct calculation,NA,can't tell,LP inc asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium to small,"1,2",0.12,NA,NA,NA,direct calculation,NA,can't tell,LP inc asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to small,"1,3",0.01,NA,NA,NA,direct calculation,NA,can't tell,LP inc asexual recruits,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small stasis,"1,1",0.79,NA,NA,NA,direct calculation,NA,70,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,"stages = small, medium, large, any rates omitted = 0",
medium to small,"1,2",0.07,NA,NA,NA,direct calculation,NA,29,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to small,"1,3",0.05,NA,NA,NA,direct calculation,NA,21,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to medium,"2,1",0.07,NA,NA,NA,direct calculation,NA,70,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium stasis,"2,2",0.68,NA,NA,NA,direct calculation,NA,29,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to medium,"2,3",0.00,NA,NA,NA,direct calculation,NA,21,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small to large,"3,1",0.00,NA,NA,NA,direct calculation,NA,70,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium to large,"3,2",0.10,NA,NA,NA,direct calculation,NA,29,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large stasis,"3,3",0.38,NA,NA,NA,direct calculation,NA,21,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small reproduction stasis,"1,1",24.00,NA,NA,NA,direct calculation,NA,46,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium reproduction ,"1,2",3.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small growth,"2,1",5.00,NA,NA,NA,direct calculation,NA,46,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium stasis,"2,2",10.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to medium,"3,2",1.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium growth,"2,3",8.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large stasis,"3,3",20.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small reproduction stasis,"1,1",55.00,NA,NA,NA,direct calculation,NA,70,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,"stages = small, medium, large, any rates omitted = 0",
medium reproduction ,"1,2",2.00,NA,NA,NA,direct calculation,NA,29,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large reproduction,"1,3",1.00,NA,NA,NA,direct calculation,NA,21,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small growth,"2,1",5.00,NA,NA,NA,direct calculation,NA,70,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium stasis,"2,2",18.00,NA,NA,NA,direct calculation,NA,29,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium growth,"3,2",3.00,NA,NA,NA,direct calculation,NA,29,MLW,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large stasis,"3,3",7.00,NA,NA,NA,direct calculation,NA,21,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small reproduction stasis,"1,1",24.00,NA,NA,NA,direct calculation,NA,46,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium reproduction ,"1,2",3.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
small growth,"2,1",5.00,NA,NA,NA,direct calculation,NA,46,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium stasis,"2,2",10.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large to medium,"2,3",1.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
medium growth,"3,2",8.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
large stasis,"3,3",20.00,NA,NA,NA,direct calculation,NA,30,LP,doi:10.1016/j.jembe.2011.07.018,2011,Mercado-Molina,,
stochastic lambda,NA,0.99,NA,NA,NA,popbio,NA,NA,BalconesCanyonlands,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,0.82,NA,NA,NA,popbio,NA,NA,ColoradoBend,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,0.92,NA,NA,NA,popbio,NA,NA,Goldthwaite,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,1.06,NA,NA,NA,popbio,NA,NA,SanSaba,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,0.81,NA,NA,NA,popbio,NA,NA,Maxdale,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,1.1,NA,NA,NA,popbio,NA,NA,TaylorValley,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,0.96,NA,NA,NA,popbio,NA,NA,WestRange,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,0.96,NA,NA,NA,popbio,NA,NA,EastRange,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,0.83,NA,NA,NA,popbio,NA,NA,JackMountain,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,1.16,NA,NA,NA,popbio,NA,NA,Manning2,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
stochastic lambda,NA,1.05,NA,NA,NA,popbio,NA,NA,WestFortHood,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.5,0.35,0.65,confidence interval,mark,no,41,BalconesCanyonlands2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,"995 = total banded, 353 resighted",
adult survival,"2,2",0.44,0.3,0.58,confidence interval,mark,no,41,BalconesCanyonlands2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.31,0.2,0.45,confidence interval,mark,no,41,BalconesCanyonlands2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.32,0.21,0.46,confidence interval,mark,no,41,BalconesCanyonlands2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.61,0.47,0.73,confidence interval,mark,no,48,Colorado Bend +2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.54,0.42,0.66,confidence interval,mark,no,48,Colorado Bend +2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.41,0.3,0.53,confidence interval,mark,no,48,Colorado Bend +2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.42,0.3,0.55,confidence interval,mark,no,48,Colorado Bend +2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.62,0.34,0.84,confidence interval,mark,no,8,Goldthwaite +2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.56,0.29,0.8,confidence interval,mark,no,8,Goldthwaite +2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.42,0.19,0.7,confidence interval,mark,no,8,Goldthwaite +2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.44,0.2,0.7,confidence interval,mark,no,8,Goldthwaite +2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.8,0.66,0.89,confidence interval,mark,no,30,San saba +2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.76,0.61,0.86,confidence interval,mark,no,30,San saba +2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.64,0.48,0.78,confidence interval,mark,no,30,San saba +2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.65,0.49,0.79,confidence interval,mark,no,30,San saba +2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.49,0.37,0.62,confidence interval,mark,no,63,Maxdale +2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.43,0.32,0.56,confidence interval,mark,no,63,Maxdale +2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.31,0.21,0.42,confidence interval,mark,no,63,Maxdale + 2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.32,0.22,0.43,confidence interval,mark,no,63,Maxdale + 2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.53,0.41,0.65,confidence interval,mark,no,69,Taylor valley +2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.47,0.36,0.59,confidence interval,mark,no,69,Taylor valley +2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.34,0.24,0.45,confidence interval,mark,no,69,Taylor valley +2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.35,0.25,0.47,confidence interval,mark,no,69,Taylor valley +2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.44,0.31,0.57,confidence interval,mark,no,69,West Range +2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.38,0.26,0.51,confidence interval,mark,no,69,West Range +2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.26,0.17,0.37,confidence interval,mark,no,69,West Range +2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.27,0.18,0.39,confidence interval,mark,no,69,West Range +2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.46,0.38,0.54,confidence interval,mark,no,311,East Range +2011,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.4,0.33,0.47,confidence interval,mark,no,311,East Range +2012,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.28,0.22,0.35,confidence interval,mark,no,311,East Range +2013,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
adult survival,"2,2",0.29,0.23,0.36,confidence interval,mark,no,311,East Range +2014,http://dx.doi.org/10.1016/j.biocon.2016.09.016,2016,Walker,,
